method,seed,selection_split,episode,eval_mean,eval_std,profit_mean,revenue_mean,deg_cost_mean
step4,7,train_full,200,13.434497961189033,7.195881485474419,1343.4497961189034,3388.569319548975,2045.119523430072
step4,7,train_full,400,13.635428635726665,6.81628894669227,1363.5428635726662,2996.3542133313554,1632.811349758689
step4,7,train_full,600,13.918268723180475,6.955805340870754,1391.8268723180477,3258.557434938999,1866.7305626209516
step4,7,train_full,800,14.234977815913174,7.29316944636952,1423.4977815913176,3424.5322525916094,2001.034471000292
step4,7,train_full,1000,14.318248884058917,7.323274944804812,1431.824888405892,3472.1282282734023,2040.3033398675104
step4,7,train_full,1200,14.298741707180206,7.285517362280622,1429.8741707180204,3308.8980590272363,1879.023888309216
step4,7,train_full,1400,14.335516091304799,7.434792660170248,1433.5516091304798,3619.0977777709422,2185.546168640463
step4,7,train_full,1600,14.164513753579934,7.23046405082994,1416.4513753579934,3374.055413630552,1957.6040382725582
step4,7,train_full,1800,14.367113087262434,7.285957862135675,1436.7113087262433,3485.488772920455,2048.777464194213
step4,7,train_full,2000,14.674827958836353,7.509093539393904,1467.4827958836352,3496.423957591162,2028.9411617075266
step4,7,train_full,2200,14.657211755922278,7.56776789629984,1465.7211755922276,3607.6839564964775,2141.96278090425
step4,7,train_full,2400,14.825933154989634,7.443451686928797,1482.5933154989636,3528.460320894155,2045.867005395191
step4,7,train_full,2600,14.831979584737427,7.624080497198525,1483.197958473743,3667.9752947930074,2184.7773363192637
step4,7,train_full,2800,14.82495278785088,7.7014778605204395,1482.4952787850877,3663.0297811962614,2180.5345024111734
step4,7,train_full,3000,14.790770085732566,7.693792602686827,1479.0770085732565,3649.0001532407973,2169.9231446675403
step4,13,train_full,200,10.04794240367119,9.37502497384742,1004.7942403671188,4441.333118539934,3436.5388781728143
step4,13,train_full,400,12.66425084611461,8.937016234586716,1266.425084611461,3981.117250074187,2714.692165462726
step4,13,train_full,600,13.82517090161994,7.981727433472133,1382.5170901619938,3686.6813832393373,2304.1642930773432
step4,13,train_full,800,13.725766218372968,8.117777779692483,1372.5766218372967,3640.1612901887734,2267.5846683514774
step4,13,train_full,1000,13.999639657536509,8.253207075935126,1399.9639657536507,3817.2235551669028,2417.2595894132523
step4,13,train_full,1200,14.21566899847439,8.15229581850248,1421.566899847439,3770.673214197413,2349.106314349974
step4,13,train_full,1400,14.43838340385986,8.061543234462292,1443.838340385986,3733.54415206123,2289.7058116752446
step4,13,train_full,1600,14.630778190044046,8.42782160344246,1463.0778190044043,4041.3847972510407,2578.306978246637
step4,13,train_full,1800,14.779758681304576,8.246968894451602,1477.9758681304577,3846.6594873077584,2368.6836191773004
step4,13,train_full,2000,14.930735099287732,8.331642622391449,1493.0735099287733,3898.27838079701,2405.2048708682364
step4,13,train_full,2200,15.05607907649587,8.166358100639014,1505.607907649587,3888.04294230635,2382.4350346567635
step4,13,train_full,2400,14.8462248105713,8.030725019616675,1484.6224810571302,3845.318749581105,2360.6962685239746
step4,13,train_full,2600,15.1037877367032,8.239358558984376,1510.37877367032,3952.4765888058805,2442.09781513556
step4,13,train_full,2800,15.060816022077505,8.116617821841627,1506.0816022077506,3913.9168474350436,2407.8352452272925
step4,13,train_full,3000,15.139827835794456,8.296792470849539,1513.9827835794456,3972.319057291132,2458.3362737116863
step4,29,train_full,200,13.926298050670727,7.707661213281857,1392.6298050670725,3525.865266703962,2133.2354616368884
step4,29,train_full,400,14.169232291290147,7.829542097693338,1416.923229129015,3502.692562043483,2085.7693329144686
step4,29,train_full,600,14.230784757576254,7.865074131120003,1423.0784757576255,3522.713930359292,2099.6354546016673
step4,29,train_full,800,14.373292858645787,7.859146211326878,1437.3292858645787,3665.1447767550653,2227.815490890486
step4,29,train_full,1000,14.504572447461065,8.10502241999621,1450.4572447461064,3755.2300409553704,2304.772796209264
step4,29,train_full,1200,14.816779587843119,8.344783484709408,1481.6779587843118,3772.552150545906,2290.8741917615944
step4,29,train_full,1400,14.691670630127192,8.129608743176037,1469.1670630127192,3646.194916863481,2177.0278538507623
step4,29,train_full,1600,14.807873143465349,8.407538160659236,1480.7873143465345,3752.2636287628766,2271.476314416342
step4,29,train_full,1800,14.948252975459171,8.31632434504637,1494.8252975459168,3738.2790765275713,2243.453778981654
step4,29,train_full,2000,15.036842210560748,8.657065819413331,1503.6842210560744,3871.372883145294,2367.6886620892196
step4,29,train_full,2200,14.888724032475862,8.564550223886682,1488.872403247586,3872.6634811902177,2383.7910779426325
step4,29,train_full,2400,14.670276858938287,8.67281453167424,1467.027685893829,3872.474619776273,2405.446933882444
step4,29,train_full,2600,14.603358949893845,8.4168410175,1460.3358949893845,3840.5975661682614,2380.2616711788774
step4,29,train_full,2800,14.512875117120995,8.490960624327089,1451.287511712099,3813.6957628599635,2362.408251147865
step4,29,train_full,3000,14.752203078348506,8.602332985859782,1475.2203078348505,3982.8043187524368,2507.5840109175865
step4,41,train_full,200,12.556814127236485,8.31409749730394,1255.6814127236485,3714.731854609233,2459.0504418855844
step4,41,train_full,400,14.063737233176939,7.63542195735607,1406.373723317694,3756.6235671705263,2350.2498438528323
step4,41,train_full,600,14.514228521896207,7.77063048682086,1451.422852189621,3584.6515041594853,2133.2286519698637
step4,41,train_full,800,14.79621438231534,8.150028557897068,1479.6214382315343,3910.4598410887925,2430.8384028572586
step4,41,train_full,1000,15.017199500806816,7.9876534108557715,1501.7199500806817,3839.4066534631397,2337.6867033824583
step4,41,train_full,1200,15.025921275470523,7.939134107443044,1502.5921275470523,3777.0862192785116,2274.49409173146
step4,41,train_full,1400,15.203771526732663,8.003827656266619,1520.3771526732662,3837.309353446375,2316.9322007731084
step4,41,train_full,1600,15.196491845953826,8.22378489361035,1519.649184595383,3858.2045055259773,2338.5553209305945
step4,41,train_full,1800,15.415077970854764,8.334253517168214,1541.5077970854763,3930.4587359434468,2388.9509388579704
step4,41,train_full,2000,15.330910534538877,8.149016504875528,1533.0910534538878,3843.4869283578046,2310.395874903917
step4,41,train_full,2200,15.411291479858022,8.187452695868581,1541.129147985802,3966.3504134708055,2425.2212654850027
step4,41,train_full,2400,15.353927132598685,8.157836859439174,1535.392713259868,3966.639542447107,2431.2468291872387
step4,41,train_full,2600,15.253946271581833,8.105489182872246,1525.3946271581833,3928.368697252037,2402.9740700938537
step4,41,train_full,2800,15.210347521925694,8.125552519424684,1521.0347521925698,4046.2956963818524,2525.2609441892823
step4,41,train_full,3000,15.141272723227448,8.2144642358284,1514.1272723227448,4025.688380723484,2511.5611084007396
step4,97,train_full,200,14.24867858604324,7.17892201471222,1424.867858604324,3437.4706902581984,2012.6028316538745
step4,97,train_full,400,14.306041508634816,7.595441824546326,1430.6041508634817,3692.284458166091,2261.6803073026094
step4,97,train_full,600,14.826800373741587,7.829392844184988,1482.680037374159,3857.3278015817395,2374.6477642075815
step4,97,train_full,800,14.780351920180673,7.795954273657075,1478.0351920180672,3717.8745900177114,2239.839397999644
step4,97,train_full,1000,14.801554946562451,7.800059209619727,1480.155494656245,3728.409285663955,2248.25379100771
step4,97,train_full,1200,15.004514181257859,7.864490088925686,1500.451418125786,3712.411242042887,2211.9598239171014
step4,97,train_full,1400,15.27692167537878,8.144995849278324,1527.692167537878,3967.4461042138214,2439.7539366759434
step4,97,train_full,1600,15.273811893845334,7.936983217142617,1527.3811893845339,3847.2651455822393,2319.8839561977047
step4,97,train_full,1800,15.239721512716736,7.853453162269715,1523.9721512716737,3737.0811609896223,2213.109009717948
step4,97,train_full,2000,15.257698358302864,7.956193588692756,1525.7698358302864,3806.9140556072066,2281.1442197769197
step4,97,train_full,2200,15.203960951877,8.058401996955475,1520.3960951877002,3824.096047938225,2303.6999527505254
step4,97,train_full,2400,15.240436368405415,8.15270025227158,1524.0436368405417,3935.4694654618934,2411.4258286213517
step4,97,train_full,2600,15.115088662041861,7.795506009673561,1511.508866204186,3688.6760420079095,2177.1671758037237
step4,97,train_full,2800,15.152688483832412,8.026338875332089,1515.2688483832412,3919.3241083954476,2404.055260012206
step4,97,train_full,3000,15.037125093276382,8.097601135991354,1503.7125093276384,3991.0147694589928,2487.302260131355
